location	Armstrong county	34.94475	-101.4642
location	Atascosa county	28.9402	-98.5067444444445
location	Austin county	29.8802111111111	-96.3001555555555
location	Bailey county	33.9803666666667	-102.802666666667
location	Bandera county	29.72908	-99.22344
location	Bastrop county	30.1217	-97.2989
location	Baylor county	33.5914	-99.2587
location	Bee county	28.4577222222222	-97.8140555555556
location	Bell county	31.0506086956522	-97.5121130434783
location	Bexar county	29.455175	-98.4962291666667
location	Blanco county	30.263	-98.438975
location	Borden county	32.7523	-101.45
location	Bosque county	31.9047888888889	-97.6203
location	Bowie county	33.4293076923077	-94.2336461538462
location	Brazoria county	29.2385333333333	-95.4489761904762
location	Brazos county	30.638425	-96.333325
location	Brewster county	29.9550833333333	-103.5093
location	Briscoe county	34.42185	-101.1817
location	Brooks county	27.07455	-98.1665
location	Brown county	31.7513	-98.9835
location	Burleson county	30.4709166666667	-96.6367833333333
location	Burnet county	30.75715	-98.1406
location	Caldwell county	29.8195571428571	-97.7277571428571
location	Calhoun county	28.53115	-96.57115
location	Callahan county	32.323525	-99.31975
location	Cameron county	26.1105285714286	-97.5958047619048
location	Camp county	32.9693	-95.0341
location	Carson county	35.398475	-101.22625
location	Cass county	33.0438090909091	-94.3009090909091
location	Castro county	34.5525	-102.25835
location	Chambers county	29.8015142857143	-94.6205428571429
location	Cherokee county	31.8304555555556	-95.1504555555556
location	Childress county	34.39315	-100.3156
location	Clay county	33.8335	-98.21272
location	Cochran county	33.6412	-102.7987
location	Coke county	31.890525	-100.44745
location	Coleman county	31.77792	-99.50678
location	Collin county	33.14936875	-96.63060625
location	Collingsworth county	34.9016	-100.2388
location	Colorado county	29.5866727272727	-96.5575
location	Comal county	29.7915666666667	-98.2356555555556
location	Comanche county	31.9249	-98.5210166666667
location	Concho county	31.41374	-99.92796
location	Cooke county	33.5805625	-97.2698
location	Coryell county	31.40295	-97.7968166666667
location	Cottle county	34.1256	-100.37795
location	Crane county	31.3969	-102.3544
location	Crockett county	30.7164	-101.2388
location	Crosby county	33.6693	-101.38
location	Culberson county	31.0391	-104.8245
location	Dallam county	36.3142666666667	-102.581633333333
location	Dallas county	32.7967581818182	-96.7870206060606
location	Dawson county	32.7312666666667	-101.933566666667
location	Deaf Smith county	34.8738	-102.3026
location	Delta county	33.4036166666667	-95.69435
location	Denton county	33.15401	-97.0845666666667
location	DeWitt county	29.0580571428571	-97.3711
location	Dickens county	33.655025	-100.86555
location	Dimmit county	28.473325	-99.69405
location	Donley county	34.9023333333333	-100.781066666667
location	Duval county	27.60824	-98.41872
location	Eastland county	32.324125	-98.7842375
location	Ector county	31.8620307692308	-102.438538461538
location	Edwards county	30.0581333333333	-100.080733333333
location	Ellis county	32.33336875	-96.78236875
location	El Paso county	31.7208531034483	-106.342807586207
location	Erath county	32.2414666666667	-98.2291
location	Falls county	31.2409166666667	-96.9705166666667
location	Fannin county	33.5584266666667	-96.1437133333333
location	Fayette county	29.9443153846154	-96.8555384615385
location	Fisher county	32.769275	-100.3356
location	Floyd county	34.0863	-101.3376
location	Foard county	33.9912	-99.6983
location	Fort Bend county	29.5663272727273	-95.7248909090909
location	Franklin county	33.1841333333333	-95.1546666666667
location	Freestone county	31.7163	-96.2871666666667
location	Frio county	28.920775	-99.036925
location	Gaines county	32.8563	-102.561
location	Galveston county	29.4061739130435	-94.9219956521739
location	Garza county	33.13055	-101.29015
location	Gillespie county	30.33766	-98.91386
location	Glasscock county	31.8491	-101.5269
location	Goliad county	28.692875	-97.41365
location	Gonzales county	29.47492	-97.57612
location	Gray county	35.3938	-100.81596
location	Grayson county	33.61855	-96.6698611111111
location	Gregg county	32.49496	-94.7849666666667
location	Grimes county	30.5547875	-95.96235
